datetime,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,passenger_count,trip_time_in_secs,trip_distance,longitude,latitude,is_pickup
2013-01-01 19:00:00,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,992,7.9,-73.885361,40.77314000000001,1
2013-01-01 19:16:33,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,992,7.9,-73.985107,40.745296,0
2013-01-01 19:52:35,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,331,1.5,-73.973091,40.748756,1
2013-01-01 19:58:07,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,331,1.5,-73.984703,40.72897,0
2013-01-01 19:59:25,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,512,2.2,-73.984062,40.72908,1
2013-01-01 20:07:57,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,512,2.2,-73.98107900000002,40.753746,0
2013-01-01 20:15:23,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,685,1.0,-73.97506700000002,40.765324,1
2013-01-01 20:26:49,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,685,1.0,-73.985733,40.755859,0
2013-01-01 20:52:23,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,360,1.6,-73.995766,40.754169,1
2013-01-01 20:58:23,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,360,1.6,-74.003349,40.732578,0
2013-01-01 21:23:24,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1001,9.2,-73.885406,40.773132,1
2013-01-01 21:40:06,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1001,9.2,-73.983795,40.729431,0
2013-01-01 21:47:40,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,564,4.2,-73.988541,40.720161,1
2013-01-01 21:57:05,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,564,4.2,-73.955399,40.772987,0
2013-01-01 23:01:07,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,273,1.7,-73.86286899999998,40.768734,1
2013-01-01 23:05:41,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,273,1.7,-73.866905,40.767513,0
2013-01-01 23:40:33,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,801,7.5,-73.873032,40.774212,1
2013-01-01 23:53:54,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,801,7.5,-73.944611,40.780037,0
2013-01-01 23:57:57,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,507,4.9,-73.944473,40.779644,1
2013-01-02 00:06:24,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,507,4.9,-73.991249,40.723469,0
2013-01-02 00:11:39,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,794,4.0,-73.99140899999998,40.726891,1
2013-01-02 00:24:54,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,794,4.0,-73.999657,40.68718,0
2013-01-02 00:46:02,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,187,0.5,-73.995483,40.724815,1
2013-01-02 00:49:09,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,187,0.5,-74.00251,40.726582,0
2013-01-02 01:48:31,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,120,0.5,-73.968147,40.755478,1
2013-01-02 01:50:31,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,120,0.5,-73.97332800000002,40.748409,0
2013-01-02 18:26:57,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,872,8.4,-73.88537600000002,40.773155,1
2013-01-02 18:41:29,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,872,8.4,-73.956985,40.760918,0
2013-01-02 18:43:49,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1108,4.2,-73.95656600000002,40.762955,1
2013-01-02 19:02:17,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1108,4.2,-73.963982,40.807861,0
2013-01-02 19:08:02,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,180,0.9,-73.962463,40.804989,1
2013-01-02 19:11:02,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,180,0.9,-73.970573,40.796452,0
2013-01-02 19:29:48,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,945,2.6,-73.978394,40.762127,1
2013-01-02 19:45:33,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,945,2.6,-73.99192,40.730042,0
2013-01-02 19:56:47,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,364,1.7,-73.974991,40.75058,1
2013-01-02 20:02:51,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,364,1.7,-73.956352,40.768993,0
2013-01-02 20:11:17,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,407,1.9,-73.971458,40.751175,1
2013-01-02 20:18:04,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,407,1.9,-73.9758,40.731064,0
2013-01-02 21:25:53,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1029,8.8,-73.87442,40.773979,1
2013-01-02 21:43:02,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1029,8.8,-73.980026,40.732384,0
2013-01-02 22:38:20,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,868,7.9,-73.866074,40.771137,1
2013-01-02 22:52:48,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,868,7.9,-73.949463,40.781406,0
2013-01-02 23:38:39,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1323,10.5,-73.862701,40.768913,1
2013-01-03 00:00:43,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1323,10.5,-73.999672,40.733429,0
2013-01-03 00:20:55,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,207,0.7,-73.998138,40.722904,1
2013-01-03 00:24:23,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,207,0.7,-73.997398,40.714432,0
2013-01-03 00:46:45,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,275,0.6,-74.004951,40.720226,1
2013-01-03 00:51:20,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,275,0.6,-74.005211,40.726505,0
2013-01-03 00:57:51,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,266,0.8,-73.99688,40.724194,1
2013-01-03 01:02:17,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,266,0.8,-73.984879,40.728031,0
2013-01-03 01:30:39,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,172,0.6,-73.98174300000002,40.732624,1
2013-01-03 01:33:31,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,172,0.6,-73.98120899999998,40.741341,0
2013-01-03 02:03:26,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,196,1.1,-73.967621,40.756344,1
2013-01-03 02:06:42,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,196,1.1,-73.97673,40.741879,0
2013-01-03 02:15:21,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,101,0.3,-73.95037099999998,40.779778,1
2013-01-03 02:17:03,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,101,0.3,-73.953445,40.775604,0
2013-01-03 02:24:26,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,204,1.0,-73.969078,40.754658,1
2013-01-03 02:27:51,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,204,1.0,-73.98164399999997,40.744713,0
2013-01-03 02:44:04,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,545,3.0,-73.988113,40.720123,1
2013-01-03 02:53:10,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,545,3.0,-73.939575,40.70574600000001,0
2013-01-03 18:48:54,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1843,8.2,-73.885307,40.773064,1
2013-01-03 19:19:38,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1843,8.2,-73.940704,40.685123,0
2013-01-03 20:24:24,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1183,9.6,-73.885498,40.773151,1
2013-01-03 20:44:08,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1183,9.6,-73.974739,40.758034,0
2013-01-03 20:53:19,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,401,0.8,-73.98135400000002,40.758331,1
2013-01-03 21:00:01,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,401,0.8,-73.96791800000003,40.756435,0
2013-01-03 21:01:48,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,713,1.9,-73.968376,40.755146,1
2013-01-03 21:13:42,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,713,1.9,-73.99413299999998,40.746201,0
2013-01-03 21:14:54,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,555,2.1,-73.994331,40.744427,1
2013-01-03 21:24:09,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,555,2.1,-73.96927600000002,40.760262,0
2013-01-03 21:27:11,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,162,0.7,-73.972054,40.755707,1
2013-01-03 21:29:53,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,162,0.7,-73.979614,40.746166,0
2013-01-03 21:31:25,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,426,2.4,-73.980896,40.744469,1
2013-01-03 21:38:31,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,426,2.4,-73.954712,40.769405,0
2013-01-03 21:39:25,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,325,1.3,-73.954346,40.770374,1
2013-01-03 21:44:51,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,325,1.3,-73.966522,40.757317,0
2013-01-03 21:51:07,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,421,1.7,-73.971016,40.754318,1
2013-01-03 21:58:09,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,421,1.7,-73.953758,40.770706,0
